"movie_title","film_slug","page","review","review_chars"
"Don't Look Up","dont-look-up-2021",1,"This review may contain spoilers. I can handle the truth.",57
"Don't Look Up","dont-look-up-2021",1,"Don't look Up is an amazing social commentary that includes a great amount of comedy to get its message across. It tells the story of an asteroid heading to earth and will kill civilization. Its commentary critiques the government for its inability to act on pressing issues that harm the whole world, while also critiquing the people who listen to the people in power and don't bat an eye. The true magic of the movie is when the asteroid finally…",448
"Don't Look Up","dont-look-up-2021",1,"Letterboxd is an independent service created by a small team, and we rely mostly on the support of our members to maintain our site and apps. Please consider upgrading to a Pro account—for less than a couple bucks a month, you’ll get cool additional features like all-time and annual stats pages (example), the ability to select (and filter by) your favorite streaming services, and no ads!",390
"Don't Look Up","dont-look-up-2021",2,"When this movie came out, it really came off as a boomer self-gratification piece to validate their own outrage at the Trump admin and the tech oligarchy and worship of guys on the spectrum who are also sociopaths. With that all being said, that's still what it is, but unfortunately I think this movie hits harder now than it did a few years ago. Reality is a suggestion. You either have a fully blown off roof, or a fully blown off roof but you think everything is fine. Fun times.",483
"Don't Look Up","dont-look-up-2021",2,"This had an odd change of heart. I went into this film expecting to be very disappointed of Adam McKay's storytelling, because of the criticisms people have about this film, but I think a lot of those criticisms are exactly what makes this work. At first, yes it is extremely exaggerated, the characters feel like caricatures and are extremely exaggerated, but well it is a satire at it's core, and yes, at times it may feel like it's preaching to…",448
"Don't Look Up","dont-look-up-2021",2,"so so good. everyone did what they needed to do.",48
"Don't Look Up","dont-look-up-2021",2,"leo really the best and it’s not close fucking love fingerling potatoes",71
"Don't Look Up","dont-look-up-2021",2,"this is not a good movie to watch when you’re consumed with existential dread and general pessimism toward the human race",121
"Don't Look Up","dont-look-up-2021",2,"One of my favorite “end of world” movies. Perfectly relates to our abhorrent political state that protects images more than lives.",130
"Don't Look Up","dont-look-up-2021",2,"Letterboxd is an independent service created by a small team, and we rely mostly on the support of our members to maintain our site and apps. Please consider upgrading to a Pro account—for less than a couple bucks a month, you’ll get cool additional features like all-time and annual stats pages (example), the ability to select (and filter by) your favorite streaming services, and no ads!",390
"Don't Look Up","dont-look-up-2021",3,"Pretentious? Yes, absolutely. An over exaggeration? No, not at all.",67
"Don't Look Up","dont-look-up-2021",3,"One of Leo’s more weaker films however I still enjoyed the ideas of it with some solid comedic and emotional areas",114
"Don't Look Up","dont-look-up-2021",3,"Okay I watched it on a first date that did not go well. But overall it was a great story about how the elite do not actually care about anyone but themselves and money. Even when their plan went wrong they still lived.",218
"Don't Look Up","dont-look-up-2021",3,"this is a hard one to watch amazing cast",40
"Don't Look Up","dont-look-up-2021",3,"Watching this after Project Hail Mary gave me whiplash. I really loved the discontinuity editing and think it really drives home the facetious nature of the story. It’s hard to ignore the abrupt cutting between scenes. It was disorientating and disrupted the narrative flow, but in an intentional way. It makes the viewer feel as detached from the movie’s grim series of events as everyone in the movie seems to be. The use of sound was also very interesting. There…",466
"Don't Look Up","dont-look-up-2021",3,"Why did he charge her for free chips?",37
"Don't Look Up","dont-look-up-2021",3,"It's a great criticism to today's society, about the manipulation on social media and how the government and powerful companies control us and our ideas and try to make us see what isn't true when we really need to see what's really happening. The movie is great but I didn't watch on my own free will so I might watch it again soon",332
"Don't Look Up","dont-look-up-2021",3,"ouch",4
"Don't Look Up","dont-look-up-2021",3,"Letterboxd is an independent service created by a small team, and we rely mostly on the support of our members to maintain our site and apps. Please consider upgrading to a Pro account—for less than a couple bucks a month, you’ll get cool additional features like all-time and annual stats pages (example), the ability to select (and filter by) your favorite streaming services, and no ads!",390
"Don't Look Up","dont-look-up-2021",4,"The problem isn't the message, it's just objectively not a good movie. Adam McKay really need to go back to making his less serious comedies because he just feels pretentious as hell now.",187
"Don't Look Up","dont-look-up-2021",4,"honest, satirical but very very obvious. Would've despised it if the world was saved in the end. my rating = reasonable ending/10",129
"Don't Look Up","dont-look-up-2021",4,"We’re cooked",12
"Don't Look Up","dont-look-up-2021",4,"I love this movie! At first I thought this movie is boring but thank god I continue watching this and it’s so peakkk",116
"Don't Look Up","dont-look-up-2021",4,"This review may contain spoilers. I can handle the truth.",57
"Don't Look Up","dont-look-up-2021",4,"it’s giving nothing and weirdo",30
"Don't Look Up","dont-look-up-2021",4,"it was way more composed, serious and smart than what would actually happen in this situation in the real world",111
"Don't Look Up","dont-look-up-2021",4,"Letterboxd is an independent service created by a small team, and we rely mostly on the support of our members to maintain our site and apps. Please consider upgrading to a Pro account—for less than a couple bucks a month, you’ll get cool additional features like all-time and annual stats pages (example), the ability to select (and filter by) your favorite streaming services, and no ads!",390
"Don't Look Up","dont-look-up-2021",5,"they did dirty to timmy in this movie",37
"Don't Look Up","dont-look-up-2021",5,"Stressful to watch, knowing how close to reality some of the characters in the film",83
"Don't Look Up","dont-look-up-2021",5,"Don't bother with this garbage and go watch Melancholia instead Some visuals are good. that's the only good thing i can think of",128
"Don't Look Up","dont-look-up-2021",5,"Why do I feel like this is happening today…",43
"Don't Look Up","dont-look-up-2021",5,"Letterboxd is an independent service created by a small team, and we rely mostly on the support of our members to maintain our site and apps. Please consider upgrading to a Pro account—for less than a couple bucks a month, you’ll get cool additional features like all-time and annual stats pages (example), the ability to select (and filter by) your favorite streaming services, and no ads!",390
"Don't Look Up","dont-look-up-2021",6,"the clip of the ending popped up in my youtube feed and it reminded me just how much the ending affected me when i first watched it. which is funny cuz everything leading up to it is kinda unfunny, cringe, poorly-written.. but it at least built up the characters enough so that by the end.. wow. the last 3 minutes are literally the only reason im rating this",359
"Don't Look Up","dont-look-up-2021",6,"good the first time not as good the second time, should've been directed by someone else I agree with mnartriam",111
"Don't Look Up","dont-look-up-2021",6,"wait this was a movie i expected NOTHING from it just randomly came up on netflix and i was oh! this premise sounds cool so i went to watch it and then tens of thousands of cool actors came up and it actually makes so much sense and is sooooo relatable to the real world w governments spreading propaganda & the focus only being on building new products and capitalism and spreading misinformation and mass rallies and everything and the celebrity charity concerts and people realizing they’ve all been brainwashed only when it’s too late & the last moments of humanity",569
"Don't Look Up","dont-look-up-2021",6,"that damn billionaire unsettled me so much they were not subtle about his character",83
"Don't Look Up","dont-look-up-2021",6,"This review may contain spoilers. I can handle the truth.",57
"Don't Look Up","dont-look-up-2021",6,"It’s scary that this is probably how the US administration would respond. If anything it’s aged really well with the current regime; I probably would’ve thought it was too goofy if I had watched it when it first released. Yes there are some glaring plot crutches, such as only finding a comet that large when it’s so close to us; astronomers have it mapped out a bit better than that for our close surroundings. Also the fact that the US…",438
"Don't Look Up","dont-look-up-2021",6,"very funny, jennifer lawrence is perfect in every movie she’s ever in. lowkey made me paranoid and terrified of this happening irl bc it is honestly pretty accurate to how i imagine things would be handled by the government lol",227
"Don't Look Up","dont-look-up-2021",6,"Letterboxd is an independent service created by a small team, and we rely mostly on the support of our members to maintain our site and apps. Please consider upgrading to a Pro account—for less than a couple bucks a month, you’ll get cool additional features like all-time and annual stats pages (example), the ability to select (and filter by) your favorite streaming services, and no ads!",390
"Don't Look Up","dont-look-up-2021",7,"God I forgot what an incredible piece of media this is and the commentary on real world issues is just so good its scary",120
"Don't Look Up","dont-look-up-2021",7,"it was truly a comedic movie. was to watch it at first but from mid to end part of the movie it got really good. Leonardo is just goated at crash out scenes. and i thought Timothée Chalamets part of the movie was not necessary but it was definitely necessary.",259
